!NUMBER OF ENERGY LEVELS
64
!NUMBER OF COLLISIONAL TRANSITIONS
1899
!NUMBER OF COLLISION TEMPERATURES
25
!COLLISION TEMPERATURES
                         2.0        3.0        5.0       7.0       10.0       15.0       20.0       30.0       50.0       70.0      100.0      150.0      200.0      300.0      500.0      700.0     1000.0     1500.0     2000.0     3000.0     5000.0     7000.0    10000.0    15000.0    20000.0
!NUM       UP    LOW    DOWN_COLL_RATES [cm^3 s^-1]
44    10    8     6.2169E-11 6.6838E-11 7.3222E-11 7.7757E-11 8.2871E-11 8.8385E-11 9.2519E-11 9.8163E-11 1.0527E-10 1.0996E-10 1.1500E-10 1.3329E-10 1.4800E-10 1.7300E-10 2.1200E-10 2.4400E-10 2.8000E-10 3.1800E-10 3.3300E-10 3.2400E-10 3.2400E-10 3.2400E-10 3.2400E-10 3.2400E-10 3.2400E-10 
45    10    9     1.4266E-10 1.5484E-10 1.7167E-10 1.8374E-10 1.9747E-10 2.1217E-10 2.2326E-10 2.3836E-10 2.5737E-10 2.6989E-10 2.8800E-10 3.0631E-10 3.2000E-10 3.3200E-10 3.4050E-10 3.4200E-10 3.4100E-10 3.3350E-10 3.2000E-10 2.8400E-10 2.8400E-10 2.8400E-10 2.8400E-10 2.8400E-10 2.8400E-10 
46    11    1     9.3800E-13 9.3800E-13 9.3800E-13 9.3800E-13 9.3800E-13 9.3800E-13 9.3800E-13 9.3800E-13 9.3800E-13 9.3800E-13 9.3800E-13 9.9638E-13 1.0400E-12 1.1400E-12 1.3300E-12 1.4600E-12 1.5600E-12 1.6400E-12 1.6400E-12 1.5200E-12 1.5200E-12 1.5200E-12 1.5200E-12 1.5200E-12 1.5200E-12 
47    11    2     2.4700E-12 2.4700E-12 2.4700E-12 2.4700E-12 2.4700E-12 2.4700E-12 2.4700E-12 2.4700E-12 2.4700E-12 2.4700E-12 2.4700E-12 2.2898E-12 2.1700E-12 1.9200E-12 1.6900E-12 1.6900E-12 1.8900E-12 2.3100E-12 2.6100E-12 2.7800E-12 2.7800E-12 2.7800E-12 2.7800E-12 2.7800E-12 2.7800E-12 
48    11    3     6.1500E-12 6.1500E-12 6.1500E-12 6.1500E-12 6.1500E-12 6.1500E-12 6.1500E-12 6.1500E-12 6.1500E-12 6.1500E-12 6.1500E-12 6.5335E-12 6.8200E-12 7.3900E-12 8.3400E-12 8.9700E-12 9.5000E-12 9.8500E-12 9.8400E-12 9.1900E-12 9.1900E-12 9.1900E-12 9.1900E-12 9.1900E-12 9.1900E-12 
49    11    4     8.3300E-12 8.3300E-12 8.3300E-12 8.3300E-12 8.3300E-12 8.3300E-12 8.3300E-12 8.3300E-12 8.3300E-12 8.3300E-12 8.3300E-12 7.9252E-12 7.6500E-12 6.9400E-12 6.1500E-12 5.9800E-12 6.3000E-12 7.2400E-12 7.9800E-12 8.4100E-12 8.4100E-12 8.4100E-12 8.4100E-12 8.4100E-12 8.4100E-12 
50    11    5     1.7500E-11 1.7500E-11 1.7500E-11 1.7500E-11 1.7500E-11 1.7500E-11 1.7500E-11 1.7500E-11 1.7500E-11 1.7500E-11 1.7500E-11 1.9252E-11 2.0600E-11 2.2700E-11 2.4900E-11 2.5800E-11 2.6400E-11 2.6800E-11 2.6700E-11 2.5000E-11 2.5000E-11 2.5000E-11 2.5000E-11 2.5000E-11 2.5000E-11 
51    11    6     2.6356E-11 2.5533E-11 2.4533E-11 2.3896E-11 2.3238E-11 2.2471E-11 2.1942E-11 2.1184E-11 2.0229E-11 1.9600E-11 2.1700E-11 2.1406E-11 2.1200E-11 1.9800E-11 1.7800E-11 1.7100E-11 1.7500E-11 1.9500E-11 2.1200E-11 2.2000E-11 2.2000E-11 2.2000E-11 2.2000E-11 2.2000E-11 2.2000E-11 
52    11    7     3.6807E-11 3.7222E-11 3.7750E-11 3.8102E-11 3.8479E-11 3.8904E-11 3.9208E-11 3.9634E-11 4.0171E-11 4.0525E-11 4.2700E-11 4.9462E-11 5.4900E-11 6.3700E-11 7.4700E-11 8.0400E-11 8.4900E-11 8.7400E-11 8.6400E-11 7.9200E-11 7.9200E-11 7.9200E-11 7.9200E-11 7.9200E-11 7.9200E-11 
53    11    8     5.3993E-11 5.3147E-11 5.2100E-11 5.1422E-11 5.0712E-11 4.9895E-11 4.9323E-11 4.8511E-11 4.7488E-11 4.6814E-11 5.2800E-11 5.3092E-11 5.3300E-11 5.2700E-11 5.2400E-11 5.3400E-11 5.6000E-11 5.9900E-11 6.1600E-11 5.9400E-11 5.9400E-11 5.9400E-11 5.9400E-11 5.9400E-11 5.9400E-11 
54    11    9     5.8460E-11 6.3084E-11 6.9433E-11 7.3960E-11 7.9082E-11 8.4590E-11 8.8730E-11 9.4374E-11 1.0148E-10 1.0617E-10 1.1000E-10 1.2981E-10 1.4600E-10 1.7300E-10 2.1400E-10 2.4600E-10 2.8300E-10 3.2000E-10 3.3500E-10 3.2600E-10 3.2600E-10 3.2600E-10 3.2600E-10 3.2600E-10 3.2600E-10 
