!NUMBER OF ENERGY LEVELS
64
!NUMBER OF COLLISIONAL TRANSITIONS
1899
!NUMBER OF COLLISION TEMPERATURES
25
!COLLISION TEMPERATURES
                         2.0        3.0        5.0       7.0       10.0       15.0       20.0       30.0       50.0       70.0      100.0      150.0      200.0      300.0      500.0      700.0     1000.0     1500.0     2000.0     3000.0     5000.0     7000.0    10000.0    15000.0    20000.0
!NUM         UP    LOW    DOWN_COLL_RATES [cm^3 s^-1]
27    8     6     8.6140E-11 8.6879E-11 8.7820E-11 8.8824E-11 8.9900E-11 8.7961E-11 8.6610E-11 8.2680E-11 7.7110E-11 7.3870E-11 7.1550E-11 7.1130E-11 7.2720E-11 7.7840E-11 8.8290E-11 9.6500E-11 1.0510E-10 1.1185E-10 1.1690E-10 1.1720E-10 1.1720E-10 1.1720E-10 1.1720E-10 1.1720E-10 1.1720E-10 
28    8     7     3.8320E-11 4.0974E-11 4.4580E-11 5.0684E-11 5.8070E-11 6.4728E-11 6.9910E-11 7.2960E-11 7.4400E-11 7.5220E-11 7.6680E-11 7.9290E-11 8.1670E-11 8.5540E-11 9.0740E-11 9.4130E-11 9.7280E-11 9.7695E-11 9.7990E-11 9.2050E-11 9.2050E-11 9.2050E-11 9.2050E-11 9.2050E-11 9.2050E-11 
29    9     1     9.9170E-14 9.8114E-14 9.6800E-14 9.8116E-14 9.9530E-14 1.0558E-13 1.1010E-13 1.2630E-13 1.7230E-13 2.3240E-13 3.3930E-13 5.3270E-13 7.2270E-13 1.0570E-12 1.4830E-12 1.7100E-12 1.9480E-12 2.2735E-12 2.5370E-12 2.8280E-12 2.8280E-12 2.8280E-12 2.8280E-12 2.8280E-12 2.8280E-12 
30    9     2     5.4210E-13 5.3779E-13 5.3240E-13 5.4044E-13 5.4910E-13 5.8092E-13 6.0460E-13 6.8540E-13 9.1010E-13 1.2030E-12 1.7250E-12 2.6930E-12 3.6870E-12 5.5600E-12 8.2330E-12 9.8850E-12 1.1580E-11 1.3181E-11 1.4450E-11 1.5170E-11 1.5170E-11 1.5170E-11 1.5170E-11 1.5170E-11 1.5170E-11 
31    9     3     1.6920E-12 1.6629E-12 1.6270E-12 1.6255E-12 1.6240E-12 1.6536E-12 1.6750E-12 1.7770E-12 2.0610E-12 2.3970E-12 2.9200E-12 3.7490E-12 4.5280E-12 5.9910E-12 8.1680E-12 9.5810E-12 1.1170E-11 1.3101E-11 1.4670E-11 1.6180E-11 1.6180E-11 1.6180E-11 1.6180E-11 1.6180E-11 1.6180E-11 
32    9     4     5.3310E-12 5.2690E-12 5.1920E-12 5.2288E-12 5.2680E-12 5.4392E-12 5.5640E-12 5.9590E-12 6.9400E-12 8.0690E-12 9.8430E-12 1.2680E-11 1.5300E-11 1.9990E-11 2.6300E-11 2.9730E-11 3.2780E-11 3.5342E-11 3.7280E-11 3.7850E-11 3.7850E-11 3.7850E-11 3.7850E-11 3.7850E-11 3.7850E-11 
33    9     5     1.3650E-11 1.3521E-11 1.3360E-11 1.3360E-11 1.3360E-11 1.3195E-11 1.3080E-11 1.2900E-11 1.2860E-11 1.3000E-11 1.3340E-11 1.4090E-11 1.5160E-11 1.8110E-11 2.3680E-11 2.7530E-11 3.1610E-11 3.5867E-11 3.9230E-11 4.1880E-11 4.1880E-11 4.1880E-11 4.1880E-11 4.1880E-11 4.1880E-11 
34    9     6     2.6980E-11 2.6905E-11 2.6810E-11 2.7210E-11 2.7640E-11 2.8399E-11 2.8950E-11 2.9880E-11 3.1610E-11 3.3420E-11 3.6060E-11 3.9960E-11 4.3390E-11 4.9500E-11 5.7400E-11 6.1030E-11 6.3660E-11 6.5145E-11 6.6220E-11 6.4490E-11 6.4490E-11 6.4490E-11 6.4490E-11 6.4490E-11 6.4490E-11 
35    9     7     8.2550E-11 8.4085E-11 8.6060E-11 8.8168E-11 9.0460E-11 8.9414E-11 8.8680E-11 8.4980E-11 7.9240E-11 7.5790E-11 7.3250E-11 7.2750E-11 7.4750E-11 8.1990E-11 9.4880E-11 1.0230E-10 1.0910E-10 1.1501E-10 1.1940E-10 1.1980E-10 1.1980E-10 1.1980E-10 1.1980E-10 1.1980E-10 1.1980E-10 
36    9     8     4.8370E-11 5.0606E-11 5.3570E-11 5.8024E-11 6.3150E-11 6.8848E-11 7.3200E-11 7.6330E-11 7.7880E-11 7.8590E-11 7.9800E-11 8.2120E-11 8.4710E-11 9.0470E-11 9.8570E-11 1.0190E-10 1.0380E-10 1.0286E-10 1.0220E-10 9.5360E-11 9.5360E-11 9.5360E-11 9.5360E-11 9.5360E-11 9.5360E-11 
